,,,RA +RA -RA,CLR or OVC,Diverse,0 or 5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALM 270055Z AUTO 17013G19KT 10SM CLR 23/07 A3006 RMK AO2,33.58,-85.85,,FEW,0,0,0,KANB,6000,30.171259,7.2,10,10.6,VFR,Alabama,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1279
KCKM 270055Z AUTO 36007KT 10SM 10/02 A3031 RMK A01,33.18,-86.78,,FEW,0,0,0,KEET,7500,30.180119,5.6,10,12.2,VFR,Alabama,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,53
KLSF 270055Z AUTO 29005KT 10SM -DZ BKN043 OVC055 14/10 A3012 RMK AO2 DZB55 SLP205,32.35,-86.98,,,0,0,0,KSEM,,30.171259,8,10,12,,Alabama,,0,TRUE,TRUE,,,,,,,,,OVC,5500,,,,,,,,,,,,,,,,,SPECI,71
KSPA 270055Z AUTO 02007KT 10SM OVC060 11/05 A3022 RMK AO2,33.9,-87.32,,,,0,0,KJFX,,30.230314,1,,12,,Alabama,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,303
KSIK 270055Z AUTO 36005KT 10SM CLR 08/M01 A3035 RMK AO2,34.75,-87.6,,CLR,20,5,0,KMSL,,30.259842,-7.8,10,12.2,VFR,Alabama,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,96
KLQK 270055Z AUTO 08005KT 10SM OVC042 11/06 A3020 RMK AO2 T01080062,32.47,-87.95,,CLR,300,5,0,KDYA,,30.188976,5,10,14,VFR,Alabama,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,309
KINF 270055Z AUTO 00000KT 10SM CLR 17/15 A3003 RMK AO2,31.32,-85.45,,CLR,330,5,0,KDHN,,30.159449,7.2,10,12.8,VFR,Alabama,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,SPECI,15
KIFA 270055Z AUTO 14008KT 10SM OVC060 09/03 A3024 RMK AO2 T00910033,33.57,-86.75,,CLR,350,5,0,KBHM,,30.209646,2.8,10,11.7,VFR,Alabama,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,347
KHXD 270055Z AUTO 04010G20KT 10SM BKN027 OVC032 13/08 A3017 RMK AO2,34.65,-86.95,,CLR,350,5,0,KDCU,,30.239174,-1.7,10,8.3,VFR,Alabama,,7,TRUE,TRUE,,,,,,,,,OVC,3200,,,,,,,,,,,,,,,,,METAR,6
KICL 270055Z AUTO 16007KT 10SM CLR 12/05 A3023 RMK AO2,32.3,-86.4,,OVC,350,5,0,KMGM,4600,30.171259,6.7,10,13.3,VFR,Alabama,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,303
KIIB 270055Z AUTO 16008KT 10SM CLR 04/M03 A3029 RMK AO2 T00351031,30.62,-88.07,,SCT,310,5,0,KBFM,4800,30.200787,7.8,10,12.2,VFR,Alabama,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,298
KPEA 270055Z AUTO 14005KT 10SM SCT070 09/00 A3029 RMK AO2 T00871003,34.68,-86,,CLR,360,5,10,K4A6,,30.209646,0,10,13,VFR,Alabama,12,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,270
KBKN 270055Z AUTO 14007KT 10SM CLR 16/08 A3026 RMK AO2,31.28,-85.72,,CLR,320,10,0,KOZR,,30.129921,8,10,13,VFR,Alabama,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,314
KANQ 270055Z AUTO 00000KT 10SM CLR 03/M06 A3037 RMK AO2,31.3,-85.9,,OVC,340,10,0,KEDN,3700,30.129921,7.9,10,13.1,VFR,Alabama,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,303
K2C8 270055Z AUTO 18012KT 4SM BR OVC008 01/00 A2994 RMK AO2,66.92,-151.52,-RA BR,BKN,0,0,0,PABT,500,30.029528,1.7,2,2.2,IFR,Alaska,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,272
KC35 270055Z AUTO 19005KT 10SM CLR 04/M07 A3031 RMK AO2 T00441073,62.3,-150.1,,CLR,0,0,0,PATK,,30.02067,-5,10,8.9,VFR,Alaska,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,276
KGLY 270055Z AUTO 15003KT 10SM CLR 11/04 A3030 RMK AO2,56.58,-169.67,,FEW,,0,0,PAPB,2500,29.991142,0,10,5,VFR,Alaska,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,251
KGGI 270055Z AUTO 14008KT 10SM CLR 07/M02 A3029 RMK AO2 T00701016,64.78,-141.15,,BKN,0,5,0,PAEG,4800,30.041338,0.6,10,8.3,VFR,Alaska,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,307
KPRO 270055Z AUTO 15008KT 10SM BKN050 09/06 A3023 RMK AO2 T00910057,64.55,-149.08,,BKN,80,5,0,PANN,10000,30.041338,1.7,10,8.3,VFR,Alaska,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,308
KTNU 270055Z AUTO 14009KT 10SM BKN065 07/00 A3027 RMK AO2,59.25,-135.52,,BKN,260,5,0,PAHN,8000,30.02067,-2.2,10,11.7,VFR,Alaska,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,290
KMAO 270055Z AUTO 00000KT 10SM CLR 08/05 A3023 RMK AO2,61.6,-149.08,,CLR,220,5,0,PAAQ,,30.029528,-2.2,10,8.9,VFR,Alaska,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,28
KLRY 270055Z AUTO 15003KT 7SM CLR 13/03 A3031 RMK AO2,59.63,-151.47,,CLR,230,5,0,PAHO,,30.059055,0.6,10,8.9,VFR,Alaska,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,279
KIDI 270055Z AUTO 00000KT 10SM CLR 03/M13 A3036 RMK A01,62.15,-145.45,,CLR,280,5,0,PAGK,,30.008858,-5,10,10,VFR,Alaska,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,429
KEOK 270055Z AUTO 00000KT 10SM CLR 08/M07 A3034 RMK AO2,61.22,-149.85,,CLR,310,5,0,PAMR,,30.050198,-1.1,10,5.6,VFR,Alaska,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,205
KZPH 270055Z AUTO 30006KT 10SM CLR 20/15 A3003 RMK AO2 T01970146 PWINO,61.18,-149.97,,CLR,320,5,0,PALH,,30.059055,-1.1,10,6.7,VFR,Alaska,,3,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,METAR,26
KPSO 270055Z AUTO 00000KT 10SM SCT110 12/M07 A3021 RMK AO2 T01161070,59.45,-151.7,,FEW,0,5,0,PASO,1500,30.079725,1.7,10,6.1,VFR,Alaska,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,2334
KGGE 270055Z AUTO 01003KT 10SM OVC048 12/07 A3021 RMK AO2,64.8,-147.85,,FEW,10,5,0,PAFA,6000,30.050198,0,10,6.7,VFR,Alaska,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,12
KSDC 270055Z AUTO 00000KT 10SM CLR M02/M12 A3043 RMK AO2,64,-145.72,,FEW,40,5,0,PABI,3500,30.041338,0.6,10,8.9,VFR,Alaska,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,129
KVDF 270055Z AUTO 00000KT 10SM CLR 20/15 A3003 RMK AO2,60.5,-145.47,,FEW,60,5,0,PACV,6000,29.958662,-2.2,10,13.9,VFR,Alaska,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,7
KVNW 270055Z AUTO 11007KT 10SM CLR 03/M07 A3039 RMK AO2,55.35,-131.7,,FEW,140,5,0,PAKT,3500,29.958662,2.2,10,10,VFR,Alaska,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,239
YLIS 270055Z AUTO 19010KT 9999 // SCT010 SCT048 BKN055 21/19 Q1020,62.97,-141.93,,FEW,180,5,0,PAOR,5000,30.041338,-1.7,10,7.2,VFR,Alaska,,4,TRUE,,,,,,,,,,SCT,4800,BKN,5500,,,,,,,,,,,,,,,SPECI,11
ORBD 270055Z 11005KT 8000 BRFU CLR 11/09 A3000 RMK WND DATA ALSTG ESTMD,57.07,-135.35,,FEW,320,5,0,PASI,12000,29.890747,3.3,10,10,VFR,Alaska,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,49
KCBG 270055Z AUTO 17005KT 10SM BKN044 OVC060 08/00 A3018 RMK AO2,62.97,-155.62,,OVC,280,5,0,PAMC,4700,30.129921,-1.7,10,4.4,VFR,Alaska,,6,TRUE,TRUE,,,,,,,,,OVC,6000,,,,,,,,,,,,,,,,,METAR,287
KCAD 270055Z AUTO 00000KT 10SM CLR 02/M11 A3033 RMK AO2 T00231113,55.58,-133.07,,SCT,0,5,0,PAKW,5500,29.878937,3.9,10,12.8,VFR,Alaska,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,398
KCDA 270055Z AUTO 00000KT 10SM CLR M05/M16 A3033 RMK AO2 T10541161,71.28,-156.77,,SCT,190,5,0,PABR,3300,29.840551,-2.2,10,-2.2,VFR,Alaska,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,363
KCFS 270055Z AUTO 00000KT 10SM CLR M01/M10 A3040 RMK AO2 T10121098,61.17,-150,,SCT,320,5,0,PANC,25000,30.050198,2.2,10,7.2,VFR,Alaska,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,214
KCVX 270055Z AUTO 16003KT 10SM CLR 00/M10 A3037 RMK AO2 T00021105,55.2,-162.72,,CLR,150,10,0,PACD,,30.209646,-1.1,10,8.3,VFR,Alaska,,12,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,204
KCVH 270055Z AUTO 30004KT 10SM SCT110 18/10 A2993 RMK A01,70.62,-159.85,,CLR,170,10,0,PAWI,,29.799213,-2.2,10,0.6,VFR,Alaska,,10,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,70
KD95 270055Z AUTO 00000KT 10SM CLR 01/M05 A3040 RMK AO2 T00081046,58.68,-156.65,,CLR,270,10,0,PAKN,,30.180119,0.6,9,7.8,VFR,Alaska,,11,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,255
KDRM 270055Z AUTO 00000KT 10SM CLR M01/M10 A3034 RMK AO2 T10141100,60.57,-151.25,,CLR,290,10,0,PAEN,,30.059055,-1.7,10,7.2,VFR,Alaska,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,204
KDLZ 270055Z AUTO 36008KT 10SM SCT110 02/M07 A3037 RMK AO2,70.2,-148.47,,FEW,100,10,0,PASC,3300,29.940945,-7.8,10,-5,VFR,Alaska,,9,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,289
KDYT 270055Z AUTO 10SM OVC060 06/M02 A3019 RMK AO2,70.22,-151,,FEW,190,10,0,PAQT,5000,29.940945,-2.2,10,-1.1,VFR,Alaska,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,186
KDUH 270055Z AUTO 00000KT 10SM CLR 01/M08 A3041 RMK AO2 T00141077,59.47,-135.3,,OVC,40,10,0,PAGY,8000,30.050198,-2.2,10,13.3,VFR,Alaska,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,204
KELO 270055Z AUTO 21006KT 10SM OVC038 04/M07 A3012 RMK AO2,59.75,-154.92,,SCT,270,10,0,PAIL,1700,30.159449,2.8,10,7.2,MVFR,Alaska,,11,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,443
KEFK 270055Z AUTO 26003KT 10SM CLR M06/M16 A3034 RMK AO2 T10601159,57.75,-152.5,,CLR,300,10,15,PADQ,,30.079725,3.3,10,9.4,VFR,Alaska,15,10,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,284
K22N 270055Z AUTO 34003KT 10SM CLR 03/M16 A3036 RMK AO2,60.78,-148.85,,CLR,280,10,20,PATO,,30.041338,-0.6,10,7.2,VFR,Alaska,19,9,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,163
K1V6 270055Z AUTO 17005KT 10SM CLR 18/00 A3003 RMK AO2,58.35,-134.58,,FEW,80,10,20,PAJN,8000,29.949802,-1.1,10,13.3,VFR,Alaska,19,10,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1658
K14Y 270055Z AUTO 17008KT 10SM OVC022 05/02 A3012 RMK AO2,64.5,-165.43,BR,SCT,160,15,0,PAOM,1000,29.940945,-1.1,6,-0.6,MVFR,Alaska,,13,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,406
KFGN 270055Z AUTO 16010KT 10SM OVC025 01/M02 A3000 RMK AO2,66.07,-162.77,,CLR,160,15,0,PADE,,29.929134,-0.6,,2.2,,Alaska,,16,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,328
KFFX 270055Z AUTO 00000KT 10SM CLR 02/M14 A3038 RMK AO2 T00241137,59.52,-139.67,,CLR,90,15,20,PAYA,,29.958662,-4.4,10,14.4,VFR,Alaska,20,13,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,236
KFFM 270055Z AUTO 16011KT 10SM OVC018 04/02 A3006 RMK AO2,60.12,-149.42,,CLR,360,15,25,PAWD,,29.97933,-0.6,10,11.1,VFR,Alaska,24,16,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,361
K5SM 270055Z AUTO 22012G22KT 10SM CLR 01/M06 A3029 RMK AO2,66.87,-162.58,,FEW,170,20,0,PAOT,2800,29.940945,-1.1,10,2.2,VFR,Alaska,,18,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,3232
K4I3 270055Z AUTO 36005KT 10SM CLR 03/M06 A3037 RMK AO2,54.15,-165.6,,BKN,160,20,25,PAUT,2100,30.188976,1,10,5.4,MVFR,Alaska,23,20,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,363
K33V 270055Z AUTO 13005KT 10SM CLR 02/M05 A3014 RMK AO1,57.15,-170.22,,FEW,190,25,30,PASN,4500,29.949802,1.1,9,4.4,VFR,Alaska,28,24,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,2484
KANK 270055Z AUTO 20009G15KT 10SM CLR 15/M13 A3021 RMK AO1 T01501129,36.92,-111.45,,CLR,100,5,0,KPGA,,29.991142,-3.9,10,19.4,VFR,Arizona,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,2293
K1S5 270055Z AUTO 14004KT 10SM CLR 14/00 A2999 RMK AO2 T01401003,34.25,-111.33,,CLR,160,5,0,KPAN,,30.088583,-2,10,19,VFR,Arizona,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,234
K1P1 270055Z AUTO 00000KT 10SM CLR M01/M17 A3033 RMK AO2 T10091175,34.85,-111.78,,CLR,200,5,0,KSEZ,,30.050198,-2,10,20,VFR,Arizona,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,154
KAMN 270055Z AUTO 00000KT 10SM CLR 03/M07 A3039 RMK AO2 T00321074,31.42,-110.85,,CLR,240,5,0,KOLS,,30.02067,-6.7,10,25,VFR,Arizona,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,230
KBJI 270055Z AUTO 18009KT 10SM OVC019 03/M02 A3007 RMK AO2 T00281025,33.62,-111.92,,CLR,250,5,0,KSDL,,29.899607,-3.3,10,28.3,VFR,Arizona,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,420
KBFW 270055Z AUTO 22005KT 10SM OVC046 06/M05 A2992 RMK AO2,33.47,-111.72,,CLR,300,5,0,KFFZ,,29.878937,-3.3,10,28.3,VFR,Arizona,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,331
KBDU 270055Z AUTO 00000KT 10SM CLR 17/M05 A2999 RMK AO2,36.97,-113.02,,CLR,300,5,0,KAZC,,30.059055,-6,10,19,VFR,Arizona,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1612
KBDH 270055Z AUTO 14010KT 10SM OVC032 07/04 A3014 RMK AO2,35.95,-112.15,,SCT,240,5,0,KGCN,12000,30.121063,-11.1,10,15,VFR,Arizona,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,247
KBAX 270055Z AUTO 14004KT 10SM CLR 00/M06 A3040 RMK AO2 T10011064,35.3,-112.2,,FEW,240,5,15,KCMR,12000,30.121063,-8,10,15,VFR,Arizona,14,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,234
KAXV 270055Z AUTO 05004KT 10SM CLR 02/M07 A3038 RMK AO2,33.53,-112.3,,BKN,230,10,0,KGEU,18000,29.890747,-3,10,29,VFR,Arizona,,9,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,279
KFSE 270055Z AUTO 17009KT 10SM OVC016 01/M02 A3006 RMK AO2,34.27,-110,,CLR,210,10,0,KSOW,,30.15059,-5,10,17,VFR,Arizona,,9,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,389
KFPK 270055Z AUTO 01003KT 10SM CLR 03/M09 A3038 RMK AO2 T00281088,33.68,-112.07,,CLR,220,10,0,KDVT,,29.890747,-1.7,10,27.2,VFR,Arizona,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,272
KFKS 270055Z AUTO 00000KT 10SM CLR 02/M11 A3035 RMK AO2 T00211109,34.65,-112.42,,CLR,220,10,0,KPRC,,30.070866,-7.2,10,18.9,VFR,Arizona,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,193
KFSO 270055Z AUTO 00000KT 10SM CLR M03/M15 A3039 RMK AO2 T10351147,34.52,-109.38,,CLR,240,10,0,KSJN,,30.070866,-8.3,10,20,VFR,Arizona,,11,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,70
KACQ 270055Z AUTO 15005KT 10SM OVC034 07/02 A3021 RMK AO2,33.62,-92.77,RA,CLR,0,0,0,KCDH,,30.28937,3,6,14,VFR,Arkansas,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,343
KACB 270055Z AUTO 00000KT 10SM CLR 00/M09 A3036 RMK AO2 T10011088,35.6,-92.45,,CLR,0,0,0,KCCA,,30.301182,6,10,11,VFR,Arkansas,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,190
K9MN 270055Z AUTO 15006KT 10SM SCT040 07/00 A3024 RMK AO1 T00721002,34.05,-94.4,,CLR,0,0,0,KDEQ,,30.250984,7.8,10,16.1,VFR,Arkansas,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,355
KGHW 270055Z AUTO 15005KT 10SM BKN019 05/03 A3011 RMK AO2,34.55,-93.58,,CLR,0,0,0,KMWT,,30.268702,6.1,10,13.9,VFR,Arkansas,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,425
KGDB 270055Z AUTO 13010KT 7SM CLR 08/05 A3012 RMK AO2 T00750053,36.02,-94.17,,CLR,0,0,0,KFYV,,30.28937,3.9,10,10,VFR,Arkansas,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,319
KHEQ 270055Z AUTO 14009KT 10SM CLR 16/05 A3001 RMK AO2,33.22,-92.82,,CLR,20,5,0,KELD,,30.28937,6.1,10,13.3,VFR,Arkansas,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,1137
KHAI 270055Z AUTO 00000KT 10SM CLR 04/M12 A3038 RMK AO2 T00351119,35.83,-90.65,,CLR,50,5,0,KJBR,,30.318897,2.2,10,8.9,VFR,Arkansas,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,251
KHAF 270055Z AUTO 17005KT 9SM OVC060 14/09 A2994 RMK AO2,36.37,-92.47,,CLR,70,5,0,KBPK,,30.28937,1.1,10,12.8,VFR,Arkansas,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,21
KGYL 270055Z AUTO 15006KT 10SM OVC030 08/05 A3017 RMK AO2 T00800045,34.18,-91.93,,CLR,70,5,0,KPBF,,30.301182,5.6,10,11.7,VFR,Arkansas,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,302
KTKC 270055Z AUTO 18008KT 7SM CLR 07/05 A3011 RMK AO2 T00710054 TSNO,36.28,-94.3,,CLR,80,5,0,KXNA,,30.301182,1.7,10,15.6,VFR,Arkansas,,3,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,METAR,408
KJYM 270055Z AUTO 16003KT 10SM CLR 03/M13 A3036 RMK AO2 T00291128,35.33,-94.37,,CLR,270,5,0,KFSM,,30.268702,5.6,10,15.6,VFR,Arkansas,,5,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,360
KJKJ 270055Z AUTO 15010KT 10SM OVC017 02/01 A3005 RMK AO2,34.58,-92.48,,FEW,50,5,0,KSUZ,5000,30.28937,4,10,13,VFR,Arkansas,,3,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,280
KIRS 270055Z AUTO 00000KT 10SM CLR 04/M13 A3037 RMK AO2 T00401129,36.4,-90.65,,CLR,80,10,0,K4M9,,30.33071,0,10,10,VFR,Arkansas,,8,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,282
KI69 270055Z AUTO 00000KT 10SM CLR 05/M05 A3037 RMK AO2 T00501055,38.03,-120.42,,BKN,0,0,0,KO22,6500,29.97933,9,10,15,VFR,California,,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,255
KHZX 270055Z AUTO 18003KT 10SM SCT042 OVC050 04/M02 A3015 RMK AO2,37.28,-120.5,,BKN,20,5,0,KMCE,10000,29.929134,10.6,10,18.3,VFR,California,,5,TRUE,TRUE,,,,,,,,,OVC,5000,,,,,,,,,,,,,,,,,METAR,374
KY70 270055Z AUTO 12005KT 10SM CLR 02/M09 A3038 RMK AO2 T00241087,33.28,-117.33,,BKN,210,5,0,KNFG,20000,29.949802,12.2,9,16.1,VFR,California,,7,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,250
KY63 270055Z AUTO 11010KT 10SM OVC018 04/03 A3007 RMK AO2 T00350026,37.7,-121.82,,BKN,250,5,0,KLVK,8500,29.911417,7.8,10,17.2,VFR,California,,6,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,367
KY31 270055Z AUTO 14004KT 10SM CLR 01/M11 A3036 RMK AO2 T00111106,36.93,-121.78,,BKN,290,5,0,KWVI,7000,29.929134,7.8,10,17.2,VFR,California,,4,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,METAR,269
KWYS 270055Z AUTO 22008KT 10SM FEW070 OVC080 06/M04 A2996 RMK AO2,32.83,-115.58,,CLR,70,5,0,KIPL,,29.828741,2.2,9,28.9,VFR,California,,7,TRUE,TRUE,,,,,,,,,OVC,8000,,,,,,,,,,,,,,,,,METAR,2025
KWWD 270055Z AUTO 00000KT 10SM CLR 01/M04 A3035 RMK AO2 SLP279 T00111044 FZRANO,37.88,-121.22,,CLR,90,5,0,KSCK,,29.929134,11.7,10,20,VFR,California,,4,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,METAR,7
